,input_text
0,"Morning, Maeve. Late night talking or fucking? You're only getting paid for the latter. I get paid when they're grateful. Ain't always about what's between my legs. Mmm."
1,Late night talking or fucking? You're only getting paid for the latter. I get paid when they're grateful. Ain't always about what's between my legs. Mmm. What are you looking at?
2,You're only getting paid for the latter. I get paid when they're grateful. Ain't always about what's between my legs. Mmm. What are you looking at? Don't shoot.
3,I get paid when they're grateful. Ain't always about what's between my legs. Mmm. What are you looking at? Don't shoot. Newcomer.
4,Ain't always about what's between my legs. Mmm. What are you looking at? Don't shoot. Newcomer. Looks like a rough one.
5,Mmm. What are you looking at? Don't shoot. Newcomer. Looks like a rough one. Give me a bottle.
6,What are you looking at? Don't shoot. Newcomer. Looks like a rough one. Give me a bottle. You're gonna need most of that just to scrub the filth off him.
7,"Don't shoot. Newcomer. Looks like a rough one. Give me a bottle. You're gonna need most of that just to scrub the filth off him. Go find a mirror, finish putting your face on."
8,"Newcomer. Looks like a rough one. Give me a bottle. You're gonna need most of that just to scrub the filth off him. Go find a mirror, finish putting your face on. I'll handle this one."
9,"Looks like a rough one. Give me a bottle. You're gonna need most of that just to scrub the filth off him. Go find a mirror, finish putting your face on. I'll handle this one. Aren't you gonna take your clothes off?"
10,"Give me a bottle. You're gonna need most of that just to scrub the filth off him. Go find a mirror, finish putting your face on. I'll handle this one. Aren't you gonna take your clothes off? I would, darling, but by the time I got down to my knickers,"
11,"You're gonna need most of that just to scrub the filth off him. Go find a mirror, finish putting your face on. I'll handle this one. Aren't you gonna take your clothes off? I would, darling, but by the time I got down to my knickers, I suspect you'd be done anyway."
12,"Go find a mirror, finish putting your face on. I'll handle this one. Aren't you gonna take your clothes off? I would, darling, but by the time I got down to my knickers, I suspect you'd be done anyway. That's the spirit."
13,"I'll handle this one. Aren't you gonna take your clothes off? I would, darling, but by the time I got down to my knickers, I suspect you'd be done anyway. That's the spirit. Such a big man. So big all over."
