,input_text
0,"Morning, Maeve."
1,Late night talking or fucking?
2,You're only getting paid for the latter.
3,I get paid when they're grateful.
4,Ain't always about what's between my legs.
5,Mmm.
6,What are you looking at?
7,Don't shoot.
8,Newcomer.
9,Looks like a rough one.
10,Give me a bottle.
11,You're gonna need most of that just to scrub the filth off him.
12,"Go find a mirror, finish putting your face on."
13,I'll handle this one.
14,Aren't you gonna take your clothes off?
15,"I would, darling, but by the time I got down to my knickers,"
16,I suspect you'd be done anyway.
17,That's the spirit.
18,Such a big man. So big all over.
19,Except where it counts.
20,"Darling, when I gave you a turn on the house,"
21,I thought you might give me something in return.
22,Anything.
23,That's it.
24,Don't be shy.
25,"Oh, shit."
26,"Now then, where were we?"
27,- Did you show this to anyone? - Who would I show it to?
28,This wasn't some guest with a Swiss Army knife.
29,This was done by someone down here.
30,It did occur to me that it might be you.
31,But then I remembered that you've been here forever.
32,"And if you were gonna sell us out, you would have done that years ago."
33,I appreciate that.
34,"So,"
35,"instead of our hosts going insane,"
36,they're being used for industrial espionage.
37,Does that make this a glass half-full or half-empty type situation?
38,We're engineers.
39,It means the glass has been manufactured
40,to the wrong specifications.
41,Do we have any idea what information it was transmitting?
42,Smeared all over a rock up on Python Pass.
43,Best we could do would be to figure out
44,who he was transmitting the information to.
45,"But we'd need the exact time that he was up there,"
46,and his geocache was wiped.
47,Not all of it.
48,Our friend was an early model.
49,The old hosts used a legacy geopositioning system.
50,"- Hmm. - Like you said, I've been here forever."
51,"The information's still there, but the newer system can't read it."
52,Meaning we can't access it?
53,"Meaning, in order to access it, I'm going to need to go downstairs."
54,Floor B82. Restricted personnel only.
55,"Lowe, Bernard. I'm authorized."
56,Project the known data against the legacy data and look for anomalies.
57,Start in this area.
58,Look at that. Science.
59,What time did it reach the peak?
60,Show me where.
61,Check these against the new system.
62,These are hosts that aren't registered with the new system?
63,"So, if we want the canyon to extend this far, this has to go."
64,"We can distribute the population amongst the neighboring farms,"
65,or just decommission them.
66,No. I think we've been disruptive enough for one day.
67,We'll end the canyon just short of the town.
68,I'll find my own way back.
69,Carry on.
70,That look like anything to you?
71,Not much to say. The maze is an old Native myth.
72,"Regale me, Theodore."
73,"The maze itself is the sum of a man's life,"
74,"choices he makes, dreams he hangs on to."
75,"And there at the center, there's a legendary man"
76,"who'd been killed over and over again, countless times,"
77,but always clawed his way back to life.
78,The man returned for the last time
79,and vanquished all his oppressors in a tireless fury.
80,"He built a house,"
81,"and around that house, he built a maze so complicated,"
82,only he could navigate through it.
83,I reckon he'd seen enough of fighting.
84,The goddamn soldiers closed the border. Some kind of trouble in Pariah.
85,"All right, Teddy."
86,Time for you to earn your keep.
87,How else do we get over the border?
88,"Wyatt's got what we both want, so that's where we have to get to."
89,There's another way.
90,But it's a little treacherous.
91,Don't worry. Won't make you get your hands dirty.
92,"""Dirty"" ain't my concern."
93,You do what suits you.
94,I'm going all the same.
95,And I'm gonna find Dolores.
96,"Everything you do,"
97,it's because the engineers upstairs programmed you to do it.
98,You don't have a choice.
99,"Nobody makes me do something I don't want to, sweetheart."
100,"Yeah, but it's part of your character."
101,You're hard to get.
102,"Even when you say no to the guests, it's because you were made to."
103,And you're like them. Not like me.
104,Right.
105,I can't exactly afford to go to the park.
106,But...
107,"Yeah, I'm human, like the guests."
108,How do you know?
109,Because I know.
110,I was born. You were made.
111,We feel the same.
112,We are the same these days. For the most part.
113,"One big difference, though."
114,The processing power in here is way beyond what we have.
115,"- It's got one drawback, though. - What's that?"
116,You're under our control.
117,"Well, their control."
118,"They can change you however they like, make you forget."
119,"I... Well, I guess not you."
120,"I don't understand how you're remembering all of this,"
121,"or how you're waking yourself up,"
122,"but everything in your head, they put it there."
123,Bullshit.
124,No one knows what I'm thinking.
125,I'll show you.
126,Give me a sec.
127,I have to pair it with you.
128,Pair what with me?
129,"You can improvise a little,"
130,"but most of what you say was designed upstairs,"
131,same as the rest of you.
132,This is just a cheap trick.
133,"I've run a brothel for 10 years, and if there's one thing I know,"
134,it's when I'm being fucked with.
135,This can't possibly...
136,I can't... can't...
137,I can't...
138,Maeve?
139,Maeve?
140,You have a minute?
141,There's something I need to talk to you about.
142,I was just about to call for you.
143,Everything okay?
144,Ford knows about us.
145,Does it matter? We're consenting adults.
146,Consenting adults in business departments
147,that are supposed to keep each other in check.
148,Our relationship will raise questions for the board about my objectivity.
149,I've never known you to go easy on my department.
150,"This can't go on, Bernard."
151,"However fun this little indiscretion was, it's over."
152,We're over.
153,Give me some credit. I can be impartial.
154,About your own team? About Ford?
155,"You must admit his leadership has, of late, been questionable."
156,I don't think he's the problem.
157,"Respectfully, it's not your job to diagnose park safety problems."
158,It's mine.
159,"So if there's nothing else, we're done."
160,"Oh, fuck. Okay."
161,Yeah.
162,Fuck. Come on. Come on.
163,Oh!
164,"- You said ""upstairs""? - Oh, my God."
165,Are you okay?
166,I want to see it.
167,Upstairs?
168,No.
169,No.
170,This is so stupid.
171,You son of a bitch! I'll put a bullet in your head.
172,Where are we now?
173,Design.
174,Can we please go back now?
175,I don't want to get fired.
176,And you'd get sent downstairs.
177,Don't forget that.
178,Welcome to Westworld. Live without limits.
179,Maeve?
180,"All right, let's get you back."
181,How did you have my dreams?
182,Those moving pictures. I saw myself.
183,With the little girl?
184,Those weren't dreams.
185,That was you in a previous build.
186,- A previous what? - Build.
187,You guys get reassigned all the time.
188,"You wouldn't remember, because that life and those memories were erased."
189,I have been at the Mariposa for 10 years.
190,"- Before that, I was in New Orleans... - No."
191,You've only been the madam at the Mariposa for the last year or so.
192,They don't rewrite you completely.
193,"I mean, they could, but it'd be too much work."
194,It takes thousands of hours to build your personalities.
195,"Usually, they just tweak you a little bit and drop you into your new role."
196,"What the fuck, ding-dong?"
197,You're dressing her up now?
198,Is this becoming like a fucking hentai thing with you now?
199,"No, I just... I just..."
200,You're fucking obsessed!
201,"You know, I didn't turn you in for your fuck-up before 'cause we're friends,"
202,but that was obviously a bad call.
203,"I mean, next thing I know, you're gonna be wearing her dress,"
204,whispering sweet nothings in her ear.
205,Fuck this. I'm telling QA.
206,I'm doing this for your own good.
207,You're not going to tell anyone anything.
208,Fuck!
209,You can't hurt me with this. You can't hurt anyone.
210,Can't I?
211,"Turns out, your friend here is a much more talented young man"
212,than anyone gave him credit for.
213,What the fuck did you do?
214,"Calm down, Sylvester."
215,I know all about you.
216,"I don't need one of those things to know what you're thinking,"
217,because I was built to read people just by looking at them.
218,To know what they want before they do.
219,And I know that you want to fuck me over the first chance you get.
220,But you shouldn't. Everyone has something they want.
221,I could help you.
222,Or I could gut you like a trout.
223,But I won't need to resort to that.
224,"Because, despite what's in here, we're not so different."
225,Are we?
226,Ms. Hale is in town.
227,"Yes, I understand the urgency. I'll do what I can."
228,Terminate external connection?
229,Yes.
230,"No, you did not."
231,"- Yes. Are you serious? - It worked, I'm telling you."
232,"Yes, sir?"
233,"All right, absolutely. Enjoy."
234,You look well for someone on sick leave.
235,Another margarita. Join me for a round?
236,Fuck you.
237,"Just the one, then."
238,"Over the last five days,"
239,"to make room for his narrative, Ford displaced over 50 hosts."
240,It's created continuity holes in active storylines all over the park.
241,I need you to start plugging them.
242,Sorry. A man can only take so much.
243,"Creatively speaking, I'm flaccid now. I can't get it up."
244,I'm sure you'll recover.
245,Do you have any idea
246,what went into those narratives that he just demolished overnight?
247,"Now, forget about the months I spent writing."
248,I'm talking about the years of my life squeezed down to their essence.
249,"The raw pulp of truth, my truth, in one transcendent narrative."
250,"Is that where the ""whoroborus"" came in?"
251,"Keep pushing me, I'll quit."
252,"No, you won't."
253,"You'll drink your cocktails, make your idle threats,"
254,and get this out of your system.
255,But don't take too long.
256,"If Ford can't pull this off,"
257,the board will be looking for a replacement.
258,But they won't be looking here.
259,"Fastest way to get to Wyatt, you said."
260,"But it doesn't look like they're letting anyone pass here, either."
261,There's fewer soldiers than Pariah.
262,We shoot our way through. That tunnel leads to the Old Territories.
263,"My, my, Teddy."
264,I think Robert gave you some extra vinegar back there.
265,"Maybe took away some sense, too."
266,"Doesn't matter how fast the route is,"
267,if you're gonna end up dead in the middle of it.
268,I need you to find Wyatt.
269,"At ease, fellas. Keep up the exemplary work."
270,Wyatt's handiwork.
271,How can you tell?
272,"Straight-up killing couldn't hold his interest,"
273,like he wasn't living up to the full measure of his calling.
274,"So, he worked to get more creative."
275,It's Wyatt all right. He's close.
276,A word of advice.
277,"Whatever your past indiscretions, make peace with them."
278,They're only gonna get worse the further along we go.
279,Flood?
280,Fuck me. That's Teddy Flood.
281,"You've made a mistake, soldier."
282,But it's not too late for you to keep walking.
283,"All due respect, sir, that's a face I'll never forget."
284,That's the son of a bitch who ambushed our outpost at Escalante.
285,You don't know a damn thing about what went down in Escalante.
286,"I know Wyatt didn't kill all those men by himself,"
287,and I know a thing or two about what's going down right now.
288,You trying to get yourself killed?
289,Making peace with past indiscretions.
290,Go! I'll hold them off.
291,Jesus.
292,"What would you like? - Water, please."
293,You look like a woman who could use a drink.
294,What's your poison?
295,I've been here enough to know that the park is all the poison I can handle.
296,Mmm. A repeat visitor. Traveling solo?
297,Purist. Getting off on the undiluted experience.
298,Your favorite narrative is... Oh...
299,"""The Final Burial of Salvation."""
300,How did you know?
301,It's my business to read desires and to satiate them.
302,Erm... I'm Lee. Lee Sizemore.
303,Head of Narrative.
304,"All these fantasies come from your twisted little mind, huh?"
305,"Well, the good ones do."
306,"- So, tell me, Mr. Sizemore... - Mmm."
307,What's your favorite ride?
308,"Well, I write them. I don't play them."
309,"Oh, you want others to indulge, but you won't do so yourself?"
310,You're afraid to lose control.
311,Maybe... Maybe it's just a product of my work environment.
312,We're not exactly in a culture where we can just let loose.
313,I would've thought the head of narrative could do whatever he wanted.
314,"My artistic freedom is constrained,"
315,what with QA breathing down my neck
316,and Behavior programming the damn things to go off-script.
317,The robots can go off-script?
318,Just little gestures.
319,"You know, supposedly it makes the things more lifelike."
320,But really...
321,It's just a vanity project from the megalomaniac who started this place.
322,"Yeah, frankly, I don't know why the suits at Delos put up with him."
323,Sorry. I'm afraid I'm gonna have to cut you off.
324,Do you know who I am?
325,I do. Ms. Cullen told me to find you and relay a message.
326,"""Tortured artist only works for artists."
327,"""Sober up and get back to work."""
328,It seems you're busy.
329,"- Look me up later? - Well, I don't even know your..."
330,Fuck this job.
331,What are you working on?
332,Nothing of note. Business as usual.
333,Keeping up appearances before we bust this stray shit wide open?
334,I'm close to finding our saboteur.
335,That tracking data you gave me? It's time-stamped.
336,"But once I cross-reference it with SAT tracking,"
337,we're gonna figure out who programmed him to try to smuggle out our data.
338,Excellent.
339,Look.
340,When our corporate overlords realize
341,"that we have saved them from corporate espionage,"
342,they are going to be grateful.
343,"And I am going to accept their gratitude in the form of a title bump,"
344,"a room upgrade, and unlimited Mesa Bar access."
345,Maybe I should request Theresa's quarters.
346,You know the first head to roll for all this is gonna be hers.
347,"Yeah, don't be so disappointed for her."
348,You reap what you sow.
349,If QA spent less time treating us like the enemy...
350,"That's a two-way street, Elsie. Theresa's just trying to do her job."
351,Maybe she should try harder.
352,Sure seems like there's a lot of shit slipping through the cracks.
353,Got it. Okay.
354,- Good afternoon. - Good afternoon.
355,Any progress on the inquiry I sent?
356,"Yes, Mr. Lowe. I've got the information you asked for."
357,"As expected, there are neither guests nor hosts registered in that sector."
358,"""As expected""?"
359,It's been designated off-limits for future narrative development.
360,Have any techs visited Sector 17 recently?
361,Checking.
362,No one.
363,Are you Arnold?
364,Who's Arnold?
365,And who the hell are you?
366,Boy? Is this some friend of yours?
367,"Well, you're trespassing."
368,Freeze motor functions.
369,- I said freeze all motor functions. - Daddy... Don't hurt him. He's just lost.
370,"Well, he can be lost on someone else's property, can't you?"
371,That's enough.
372,As you were.
373,They don't respond to voice commands.
374,"Well, they do respond to mine."
375,Who are they?
376,Ghosts now.
377,Survivors of the wreck of time.
378,- These are first-generation? - Mmm-hmm.
379,"Come here, boy."
380,Turn the other cheek.
381,"See, what our newer designs gained in efficiency,"
382,they lost in grace.
383,How are they still operating after all this time?
384,I maintain them myself.
385,"That's enough, Robert."
386,These are the only ones left in the park that Arnold built himself.
387,That's why I didn't have the heart to destroy them.
388,"That, and the obvious."
389,"Hello, Jock. Good boy."
390,"I told him of a holiday my family had taken once,"
391,out on the seaside at Pendeen in Cornwall.
392,My brother and I roamed the countryside.
393,It was my only happy memory of my childhood.
394,And Arnold built them as a gift.
